境外输入,0,388,0,388
哈尔滨,0,264,4,260
双鸭山,0,52,3,49
绥化,0,47,4,43
鸡西,0,46,0,46
齐齐哈尔,0,43,1,42
大庆,0,27,1,26
牡丹江,0,25,0,25
七台河,0,17,0,17
佳木斯,0,15,0,15
黑河,0,14,0,14
鹤岗,0,5,0,5
大兴安岭,0,3,0,3
待明确,0,2,0,2
伊春,0,1,0,1
江西,0,935,1,934
南昌,0,230,0,230
新余,0,129,0,129
上饶,0,123,0,123
九江,0,116,0,116
宜春,0,106,0,106
赣州,0,74,1,73
抚州,0,72,0,72
萍乡,0,33,0,33
吉安,0,22,0,22
鹰潭,0,18,0,18
景德镇,0,6,0,6
境外输入,0,5,0,5
赣江新区,0,1,0,1
海南,0,171,6,165
三亚,0,57,1,56
海口,0,39,0,39
儋州,0,15,1,14
万宁,0,13,0,13
澄迈,0,9,1,8
昌江,0,7,0,7
琼海,0,6,1,5
临高,0,6,0,6
陵水,0,4,0,4
定安,0,3,1,2
文昌,0,3,0,3
东方,0,3,1,2
保亭,0,3,0,3
乐东,0,2,0,2
琼中,0,1,0,1
吉林,0,157,2,155
吉林市,0,60,1,59
长春,0,49,0,49
四平市,0,17,1,16
辽源,0,7,0,7
延边,0,7,0,7
公主岭,0,6,0,6
通化,0,6,0,6
松原,0,2,0,2
梅河口,0,2,0,2
白城,0,1,0,1
贵州,0,147,2,145
贵阳,0,36,1,35
遵义,0,32,0,32
毕节,0,23,0,23
黔南州,0,17,0,17
六盘水,0,10,1,9
铜仁,0,10,0,10
黔东南州,0,10,0,10
安顺,0,4,0,4
黔西南州,0,4,0,4
境外输入,0,1,0,1
宁夏,0,75,0,75
银川,0,36,0,36
吴忠,0,28,0,28
固原,0,5,0,5
中卫,0,4,0,4
宁东,0,1,0,1
石嘴山,0,1,0,1
澳门,0,46,0,46
青海,0,18,0,18
西宁,0,15,0,15
海北州,0,3,0,3
西藏,0,1,0,1
拉萨,0,1,0,1
